model,split_name,p_value,relation,average_precision_mean,average_precision_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,precision_mean,recall_mean,accuracy_mean,fit_time_mean_s,predict_time_mean_s,runs
tabicl,family,0.8,grandfather,0.9270833333333333,0.17501417176177567,0.9969017094017094,0.006802220705520863,0.55,0.4972144630058766,0.6,0.5333333333333333,0.9932719377058999,0.5225618113996461,3.451273014489561,10
tabicl,family,0.8,grandmother,0.8388888888888889,0.27521035725557413,0.9890500059672992,0.01702259303013502,0.0,0.0,0.0,0.0,0.9825922830915077,0.5225618113996461,3.451273014489561,10
tabicl,family,0.8,grandson,0.6666666666666666,0.2886751345948129,0.9881730469965765,0.010411284583677419,0.0,0.0,0.0,0.0,0.9947600371120109,0.5225618113996461,3.451273014489561,10
tabicl,family,0.8,husband,0.06825758306021464,0.034269962858675236,0.608501860222595,0.3014055822818847,0.0,0.0,0.0,0.0,0.9856423745274329,0.5225618113996461,3.451273014489561,10
tabicl,family,0.8,nephew,0.5382716049382715,0.2639565648546333,0.9652750639952629,0.03385522544451513,0.0,0.0,0.0,0.0,0.9807962980813206,0.5225618113996461,3.451273014489561,10
tabicl,family,0.8,niece,0.5157407407407407,0.2853617478929049,0.9592280531480406,0.030095292855222628,0.0,0.0,0.0,0.0,0.9742807211423073,0.5225618113996461,3.451273014489561,10
tabicl,family,0.8,overall,0.5345507069823509,0.12117817870556234,0.952334342670707,0.02347710818582314,0.44607418268708593,0.12386290444569362,0.7231746031746031,0.3364955950482266,0.9804949053857351,0.5225618113996461,3.451273014489561,10
tabicl,family,0.8,sister,0.2340386002886003,0.09120159181079307,0.8794509785030022,0.05863870260840685,0.0,0.0,0.0,0.0,0.9587535688350618,0.5225618113996461,3.451273014489561,10
tabicl,family,0.8,uncle,0.7333333333333333,0.3651483716701107,0.9861698956780923,0.018979824590472816,0.0,0.0,0.0,0.0,0.9854813063547487,0.5225618113996461,3.451273014489561,10
tabicl,family,0.8,wife,0.1108857808857809,0.08394900286721765,0.700996495216444,0.26205508313898257,0.0,0.0,0.0,0.0,0.9901389868226131,0.5225618113996461,3.451273014489561,10
tabicl,random,0.1,aunt,0.08227140426296849,0.03699337496014951,0.7610943347595126,0.11258588082089596,0.0,0.0,0.0,0.0,0.9813963924671875,0.38069999023573475,0.7415975442971103,10
tabicl,random,0.1,brother,0.054867353837518326,0.016288652090557198,0.6515198183437825,0.09745736757456176,0.0,0.0,0.0,0.0,0.976918843312726,0.38069999023573475,0.7415975442971103,10
tabicl,random,0.1,cousin,0.5849394740011976,0.04164495315372572,0.9295278592244239,0.023407615678817197,0.34885970578851144,0.17162514802531995,0.7019791226615923,0.2553494787808949,0.9127751729835036,0.38069999023573475,0.7415975442971103,10
