model,train_fraction,run_idx,relation,relation_id,wave,reflexivity,symmetry,transitive,train_rows,valid_rows,test_rows,fit_time_s,predict_time_s,f1,precision,recall,accuracy,positive_rate_true,positive_rate_pred,tp,fp,fn,tn,average_precision,roc_auc
tabpfn,0.2,0,symmetric,A01,1,none,symmetric,0,500,250,1750,0.16828101594001055,0.4195227180607617,0.6600306278713629,0.49257142857142855,1.0,0.49257142857142855,0.49257142857142855,1.0,862,888,0,0,0.4837400749578372,0.4901137361259171
tabicl,0.2,0,symmetric,A01,1,none,symmetric,0,500,250,1750,0.32727755908854306,0.15662930300459266,0.5661835748792271,0.48509933774834435,0.679814385150812,0.4868571428571429,0.49257142857142855,0.6902857142857143,586,622,276,266,0.49093539506202544,0.49809721264187623
tabpfn,0.2,1,symmetric,A01,1,none,symmetric,0,500,250,1750,0.18109992297831923,0.4378797729732469,0.1835032437442076,0.4900990099009901,0.11288483466362599,0.49657142857142855,0.5011428571428571,0.11542857142857142,99,103,778,770,0.50709189563567,0.5031451592889955
tabicl,0.2,1,symmetric,A01,1,none,symmetric,0,500,250,1750,0.33240550803020597,0.15584354707971215,0.4485154769425142,0.5028328611898017,0.4047890535917902,0.5011428571428571,0.5011428571428571,0.4034285714285714,355,351,522,522,0.5029466521380419,0.5026488301653168
tabpfn,0.2,2,symmetric,A01,1,none,symmetric,0,500,250,1750,0.17397382098715752,0.41297871607821435,0.0,0.0,0.0,0.49257142857142855,0.5074285714285715,0.0,0,0,888,862,0.49500078671743064,0.48881581697706983
tabicl,0.2,2,symmetric,A01,1,none,symmetric,0,500,250,1750,0.3200517389923334,0.15506927901878953,0.1369334619093539,0.47651006711409394,0.07995495495495496,0.48857142857142855,0.5074285714285715,0.08514285714285715,71,78,817,784,0.5038905085781807,0.4966653863840639
tabpfn,0.2,3,symmetric,A01,1,none,symmetric,0,500,250,1750,0.17381103208754212,0.4135058029787615,0.5019220208676551,0.4716202270381837,0.5363849765258216,0.4817142857142857,0.4868571428571429,0.5537142857142857,457,512,395,386,0.4738104194122243,0.48152127314742205
tabicl,0.2,3,symmetric,A01,1,none,symmetric,0,500,250,1750,0.4983930520247668,0.15317920700181276,0.5536945812807882,0.4770797962648557,0.6596244131455399,0.48228571428571426,0.4868571428571429,0.6731428571428572,562,616,290,282,0.4729271002085381,0.4814657245626693
tabpfn,0.2,4,symmetric,A01,1,none,symmetric,0,500,250,1750,0.17568301397841424,0.41369458194822073,0.6635980053701572,0.49913444893248704,0.9897025171624714,0.49885714285714283,0.49942857142857144,0.9902857142857143,865,868,9,8,0.49082701235105114,0.4901498646855375
tabicl,0.2,4,symmetric,A01,1,none,symmetric,0,500,250,1750,0.33957436797209084,0.16376571403816342,0.6557507987220448,0.503680981595092,0.9393592677345538,0.5074285714285715,0.49942857142857144,0.9314285714285714,821,809,53,67,0.5157628188294623,0.5161835313417552
tabpfn,0.2,5,symmetric,A01,1,none,symmetric,0,500,250,1750,0.161658072960563,0.4127639459911734,0.4906976744186046,0.501187648456057,0.4806378132118451,0.49942857142857144,0.5017142857142857,0.48114285714285715,422,420,456,452,0.4966103299844369,0.49950301456604884
tabicl,0.2,5,symmetric,A01,1,none,symmetric,0,500,250,1750,0.3317205209750682,0.15482745005283505,0.5432616675406398,0.5034013605442177,0.5899772209567198,0.5022857142857143,0.5017142857142857,0.588,518,511,360,361,0.5051186929042385,0.5032385686819503
tabpfn,0.2,6,symmetric,A01,1,none,symmetric,0,500,250,1750,0.15895636391360313,0.43297906196676195,0.6356846473029045,0.4970798182998053,0.8814729574223246,0.4982857142857143,0.49657142857142855,0.8805714285714286,766,775,103,106,0.4919539509555779,0.4959397274516745
tabicl,0.2,6,symmetric,A01,1,none,symmetric,0,500,250,1750,0.33642918104305863,0.1545881120255217,0.5291622481442205,0.49065880039331367,0.5742232451093211,0.49257142857142855,0.49657142857142855,0.5811428571428572,499,518,370,363,0.4926780834379547,0.4946309312176639
tabpfn,0.2,7,symmetric,A01,1,none,symmetric,0,500,250,1750,0.1743583499919623,0.4178225550567731,0.6402535657686212,0.4849939975990396,0.9417249417249417,0.48114285714285715,0.49028571428571427,0.952,808,858,50,34,0.5026361348048995,0.5064638276521685
tabicl,0.2,7,symmetric,A01,1,none,symmetric,0,500,250,1750,0.326035785023123,0.1555977469542995,0.6338028169014085,0.4916452442159383,0.8916083916083916,0.4948571428571429,0.49028571428571427,0.8891428571428571,765,791,93,101,0.4882460618909159,0.49879399374915073
tabpfn,0.2,8,symmetric,A01,1,none,symmetric,0,500,250,1750,0.16987889795564115,0.4194043190218508,0.2565789473684211,0.4482758620689655,0.17972350230414746,0.48342857142857143,0.496,0.19885714285714284,156,192,712,690,0.48531656658337285,0.48008558262014484
tabicl,0.2,8,symmetric,A01,1,none,symmetric,0,500,250,1750,0.32874061295296997,0.155097909970209,0.4859484777517564,0.49404761904761907,0.478110599078341,0.4982857142857143,0.496,0.48,415,425,453,457,0.4930534342397722,0.5016340637637543
tabpfn,0.2,9,symmetric,A01,1,none,symmetric,0,500,250,1750,0.178922011051327,0.4207883640192449,0.6635838150289017,0.5005813953488372,0.984,0.5011428571428571,0.5,0.9828571428571429,861,859,14,16,0.48090507208345173,0.4752528979591837
tabicl,0.2,9,symmetric,A01,1,none,symmetric,0,500,250,1750,0.35100762103684247,0.15507829003036022,0.6205059920106525,0.5072568940493469,0.7988571428571428,0.5114285714285715,0.5,0.7874285714285715,699,679,176,196,0.5033336781180893,0.5041750204081632
tabpfn,0.1,0,symmetric,A01,1,none,symmetric,0,250,250,2000,0.16192186204716563,0.4176572050200775,0.6572675394427661,0.4895,1.0,0.4895,0.4895,1.0,979,1021,0,0,0.4866483935054864,0.49176436808632606
tabicl,0.1,0,symmetric,A01,1,none,symmetric,0,250,250,2000,0.3266149809351191,0.14775768108665943,0.6186937817755181,0.5012674271229405,0.8079673135852911,0.5125,0.4895,0.789,791,787,188,234,0.507341150603189,0.5305569756262511
tabpfn,0.1,1,symmetric,A01,1,none,symmetric,0,250,250,2000,0.16252652904950082,0.41836014296859503,0.0,0.0,0.0,0.4965,0.5035,0.0,0,0,1007,993,0.49672540796287706,0.48981050071453497
tabicl,0.1,1,symmetric,A01,1,none,symmetric,0,250,250,2000,0.3344377391040325,0.14773143094498664,0.3076923076923077,0.48,0.22641509433962265,0.487,0.5035,0.2375,228,247,779,746,0.5009159706880785,0.49601430470093033
tabpfn,0.1,2,symmetric,A01,1,none,symmetric,0,250,250,2000,0.16413771198131144,0.4191525790374726,0.6239876590821443,0.505625,0.8147029204431017,0.5125,0.4965,0.8,809,791,184,216,0.5046055452562443,0.5115820675213085
tabicl,0.1,2,symmetric,A01,1,none,symmetric,0,250,250,2000,0.33969290705863386,0.148017369909212,0.47874015748031495,0.5,0.459214501510574,0.5035,0.4965,0.456,456,456,537,551,0.5067618474031019,0.5140571888022514
tabpfn,0.1,3,symmetric,A01,1,none,symmetric,0,250,250,2000,0.16035690798889846,0.4193940591067076,0.3058984910836763,0.4922737306843267,0.2218905472636816,0.494,0.5025,0.2265,223,230,782,765,0.49448142315156024,0.4934028350708768
tabicl,0.1,3,symmetric,A01,1,none,symmetric,0,250,250,2000,0.33153754100203514,0.1478742299368605,0.15028901734104047,0.441747572815534,0.09054726368159204,0.4855,0.5025,0.103,91,115,914,880,0.48834778910451987,0.4809695242381059
tabpfn,0.1,4,symmetric,A01,1,none,symmetric,0,250,250,2000,0.16643261397257447,0.41922404896467924,0.6430092264017033,0.4929270946681175,0.9244897959183673,0.497,0.49,0.919,906,932,74,88,0.4778576183894653,0.4874154661864746
tabicl,0.1,4,symmetric,A01,1,none,symmetric,0,250,250,2000,0.34692403790540993,0.14817885891534388,0.5673036093418259,0.4858181818181818,0.6816326530612244,0.4905,0.49,0.6875,668,707,312,313,0.48741886880703605,0.49730442176870754
tabpfn,0.1,5,symmetric,A01,1,none,symmetric,0,250,250,2000,0.1658466550288722,0.4241906189126894,0.015763546798029555,0.6153846153846154,0.007984031936127744,0.5005,0.501,0.0065,8,5,994,993,0.5002187833706068,0.48938345753383017
tabicl,0.1,5,symmetric,A01,1,none,symmetric,0,250,250,2000,0.3418071389896795,0.14807853801175952,0.38946723821187995,0.5039619651347068,0.31736526946107785,0.5015,0.501,0.3155,318,313,684,685,0.5042742158378049,0.49322097288389155
tabpfn,0.1,6,symmetric,A01,1,none,symmetric,0,250,250,2000,0.1747460289625451,0.4210949119878933,0.5061184532550171,0.49097815764482433,0.5222222222222223,0.4955,0.495,0.5265,517,536,473,474,0.49096788021639287,0.49121462146214623
tabicl,0.1,6,symmetric,A01,1,none,symmetric,0,250,250,2000,0.34665038902312517,0.14824836794286966,0.47340980187695514,0.4892241379310345,0.4585858585858586,0.495,0.495,0.464,454,474,536,536,0.4921460775806303,0.4958385838583858
tabpfn,0.1,7,symmetric,A01,1,none,symmetric,0,250,250,2000,0.1579326179344207,0.433302360936068,0.6360071301247772,0.48930334613274823,0.9083503054989817,0.4895,0.491,0.9115,892,931,90,87,0.4838898740000345,0.4816035395468132
tabicl,0.1,7,symmetric,A01,1,none,symmetric,0,250,250,2000,0.3356126439757645,0.14835272799246013,0.5962632006498781,0.49594594594594593,0.7474541751527495,0.503,0.491,0.74,734,746,248,272,0.5012874391278594,0.5115247340138205
tabpfn,0.1,8,symmetric,A01,1,none,symmetric,0,250,250,2000,0.16726742906030267,0.4229232840007171,0.606841046277666,0.5067204301075269,0.7562688064192578,0.5115,0.4985,0.744,754,734,243,269,0.49642529691014564,0.5013245119206072
tabicl,0.1,8,symmetric,A01,1,none,symmetric,0,250,250,2000,0.32661313097923994,0.19547090400010347,0.48895582329317266,0.4894472361809045,0.4884653961885657,0.491,0.4985,0.4975,487,508,510,495,0.49783973367115086,0.4965549689947209
