model,split_mode,train_fraction,run_idx,relation,relation_id,matrix_id,wave,reflexivity,symmetry,transitive,entity_count,anchor_entity_count,query_entity_count,transfer_matrix_count,transfer_train_rows,heldout_support_rows,support_pool_rows,evaluation_pool_rows,train_rows,valid_rows,test_rows,fit_time_s,predict_time_s,f1,precision,recall,accuracy,positive_rate_true,positive_rate_pred,tp,fp,fn,tn,average_precision,roc_auc
tabicl,leave_matrix_out_support,0.8,2,symmetric,A01,A01_m002,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.45446428505238146,1.3412679359316826,0.6319218241042345,0.5052083333333334,0.8434782608695652,0.49777777777777776,0.5111111111111111,0.8533333333333334,194,190,36,30,0.46990895200353144,0.45379446640316207
tabpfn,leave_matrix_out_support,0.8,3,symmetric,A01,A01_m002,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.1775454160524532,2.3985746540129185,0.655436447166922,0.4965197215777262,0.963963963963964,0.5,0.49333333333333335,0.9577777777777777,214,217,8,11,0.47142670300672396,0.4694760550023708
tabicl,leave_matrix_out_support,0.8,3,symmetric,A01,A01_m002,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.3972012040903792,1.5631904950132594,0.653125,0.5,0.9414414414414415,0.5066666666666667,0.49333333333333335,0.9288888888888889,209,209,13,19,0.48835301454726265,0.4977279911490438
tabpfn,leave_matrix_out_support,0.8,4,symmetric,A01,A01_m002,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.2002015199977905,2.4227122840238735,0.5625,0.5255474452554745,0.6050420168067226,0.5022222222222222,0.5288888888888889,0.6088888888888889,144,130,94,82,0.540322987028981,0.5147554304740765
tabicl,leave_matrix_out_support,0.8,4,symmetric,A01,A01_m002,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.5954633329529315,1.3369921249104664,0.6518282988871225,0.5242966751918159,0.8613445378151261,0.5133333333333333,0.5288888888888889,0.8688888888888889,205,186,33,26,0.5421788332813604,0.5120996511812272
tabpfn,leave_matrix_out_support,0.8,5,symmetric,A01,A01_m002,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.198709636926651,2.4165337269660085,0.5828779599271403,0.5015673981191222,0.6956521739130435,0.4911111111111111,0.5111111111111111,0.7088888888888889,160,159,70,61,0.5113374105433975,0.48600790513833986
tabicl,leave_matrix_out_support,0.8,5,symmetric,A01,A01_m002,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.4054887309903279,1.568273521028459,0.6382978723404256,0.5118110236220472,0.8478260869565217,0.5088888888888888,0.5111111111111111,0.8466666666666667,195,186,35,34,0.4962203731691674,0.48266798418972334
tabpfn,leave_matrix_out_support,0.8,6,symmetric,A01,A01_m002,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.175039655994624,2.430743611068465,0.5930018416206262,0.5278688524590164,0.6764705882352942,0.5088888888888888,0.5288888888888889,0.6777777777777778,161,144,77,68,0.504240475416233,0.48488782305374983
tabicl,leave_matrix_out_support,0.8,6,symmetric,A01,A01_m002,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.5752435959875584,1.6038310680305585,0.6281833616298812,0.5270655270655271,0.7773109243697479,0.5133333333333333,0.5288888888888889,0.78,185,166,53,46,0.5270486678364135,0.49289479942920567
tabpfn,leave_matrix_out_support,0.8,7,symmetric,A01,A01_m002,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.1793583879480138,2.4114181860350072,0.6351351351351351,0.5193370165745856,0.8173913043478261,0.52,0.5111111111111111,0.8044444444444444,188,174,42,46,0.5103895746366596,0.5116600790513834
tabicl,leave_matrix_out_support,0.8,7,symmetric,A01,A01_m002,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.4486754790414125,1.5935441630426794,0.6582278481012658,0.5174129353233831,0.9043478260869565,0.52,0.5111111111111111,0.8933333333333333,208,194,22,26,0.49485000102163124,0.4815810276679842
tabpfn,leave_matrix_out_support,0.8,8,symmetric,A01,A01_m002,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.188400111044757,2.4407114420318976,0.6656441717791411,0.5130023640661938,0.9475982532751092,0.5155555555555555,0.5088888888888888,0.94,217,206,12,15,0.48221314866691284,0.4747969728704381
tabicl,leave_matrix_out_support,0.8,8,symmetric,A01,A01_m002,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.4108099559089169,1.565726503962651,0.6304,0.49747474747474746,0.8602620087336245,0.4866666666666667,0.5088888888888888,0.88,197,199,32,22,0.5047590530649728,0.5022031654448814
tabpfn,leave_matrix_out_support,0.8,9,symmetric,A01,A01_m002,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.1826479939045385,2.415957146906294,0.5301724137931034,0.5234042553191489,0.537117903930131,0.5155555555555555,0.5088888888888888,0.5222222222222223,123,112,106,109,0.5393060145464835,0.539034559070521
tabicl,leave_matrix_out_support,0.8,9,symmetric,A01,A01_m002,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.455689913011156,1.3470158240525052,0.6477987421383647,0.5061425061425061,0.8995633187772926,0.5022222222222222,0.5088888888888888,0.9044444444444445,206,201,23,20,0.5068228972395347,0.4938449682862732
tabpfn,leave_matrix_out_support,0.8,0,symmetric,A01,A01_m003,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.2079286000225693,2.4205127370078117,0.609271523178808,0.49066666666666664,0.8034934497816594,0.47555555555555556,0.5088888888888888,0.8333333333333334,184,191,45,30,0.5364097904256295,0.5124681380782073
tabicl,leave_matrix_out_support,0.8,0,symmetric,A01,A01_m003,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.42641526798252016,1.5862210240447894,0.6328671328671329,0.5276967930029155,0.7903930131004366,0.5333333333333333,0.5088888888888888,0.7622222222222222,181,162,48,59,0.5214129974011672,0.5124483787468632
tabpfn,leave_matrix_out_support,0.8,1,symmetric,A01,A01_m003,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.1979536280268803,2.425000093993731,0.5742574257425742,0.5534351145038168,0.5967078189300411,0.5222222222222223,0.54,0.5822222222222222,145,117,98,90,0.539936482451686,0.5052484046042822
tabicl,leave_matrix_out_support,0.8,1,symmetric,A01,A01_m003,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.6027494070585817,1.3574730240507051,0.576271186440678,0.53125,0.6296296296296297,0.5,0.54,0.64,153,135,90,72,0.5520121712170633,0.5002683843263553
tabpfn,leave_matrix_out_support,0.8,2,symmetric,A01,A01_m003,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.2039240270387381,2.4197882909793407,0.6534954407294833,0.49311926605504586,0.9684684684684685,0.49333333333333335,0.49333333333333335,0.9688888888888889,215,221,7,7,0.49624151864895744,0.48938082819661766
tabicl,leave_matrix_out_support,0.8,2,symmetric,A01,A01_m003,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,0.4601013410137966,1.5658394489437342,0.6449511400651465,0.5051020408163265,0.8918918918918919,0.5155555555555555,0.49333333333333335,0.8711111111111111,198,194,24,34,0.5088918455822057,0.5034870396712501
tabpfn,leave_matrix_out_support,0.8,3,symmetric,A01,A01_m003,1,none,symmetric,0,50,50,0,9,22500,2000,2500,500,24500,50,450,1.2052592399995774,2.4348205300047994,0.6343042071197411,0.5038560411311054,0.8558951965065502,0.49777777777777776,0.5088888888888888,0.8644444444444445,196,193,33,28,0.49129195391177505,0.4491691201169752
